dataset_name,doi,journal,title,valid dyad? (Yes/No)
IRI Infoscan data,10.1002/hec.3883,Health Economics,Do differences in reported expenditures between household scanner data and expenditure surveys matter in health policy research?,
IRI Infoscan data,10.1002/agr.21606,Agribusiness,Market power and farm‐retail price transmission: The case of US fluid milk markets,
IRI Infoscan data,10.1007/s10603-018-9396-x,Journal of Consumer Policy,Evidence from Retail Food Markets That Consumers Are Confused by Natural and Organic Food Labels,
IRI Infoscan data,10.1080/00036846.2018.1486016,Applied Economics,A tale of two Italian cities: brand-level milk demand and price competition,
IRI Infoscan data,10.1111/agec.12444,Agricultural Economics,Does a nutritious diet cost more in food deserts?,
IRI Infoscan data,10.1002/jsfa.8633,Journal of the Science of Food and Agriculture,Extra‐virgin olive oil: are consumers provided with the sensory quality they want? A hedonic price model with sensory attributes,
IRI Infoscan data,10.3168/jds.2015-10410,Journal of Dairy Science,The effects of retail concentration on retail dairy product prices in the United States,
IRI Infoscan data,10.1016/j.aaspro.2016.02.014,Agriculture and Agricultural Science Procedia,Consumer Response to Quality Differentiation Strategies in Wine PDOs,
IRI Infoscan data,10.1016/j.wep.2015.12.001,Wine Economics and Policy,Wine consumption and sales strategies: The evolution of Mass Retail Trading in Italy,
IRI Infoscan data,10.1162/rest_a_00447,Review of Economics and Statistics,Variety Pass-Through: An Examination of the Ready-to-Eat Breakfast Cereal Market,
IRI Infoscan data,10.1162/rest_a_00171,Review of Economics and Statistics,Identification With Imperfect Instruments,
IRI Infoscan data,10.1515/1935-1682.3088,The B.E. Journal of Economic Analysis & Policy,The Effect of Mandated Exclusive Territories in the US Brewing Industry,
IRI Infoscan data,10.1002/agr.20288,Agribusiness,Some Like It Healthy: Demand for Functional and Conventional Yogurts in the Italian Market,
IRI Infoscan data,10.1111/j.1477-9552.2011.00299.x,Journal of Agricultural Economics,The Elusive Price Premium for Ecolabelled Products: Evidence from Seafood in the UK Market,
IRI Infoscan data,10.3168/jds.2010-4062,Journal of Dairy Science,Assessing economic and demographic factors that influence United States dairy demand1,
IRI Infoscan data,10.2202/1542-0485.1085,Journal of Agricultural & Food Industrial Organization,Private Label Expansion and Supermarket Milk Prices,
IRI Infoscan data,10.1002/agr.20058,Agribusiness,"Retail oligopoly power, dairy compact, and Boston milk prices",
IRI Infoscan data,10.2202/1542-0485.1075,Journal of Agricultural & Food Industrial Organization,Market Conduct in the U.S. Ready-to-Eat Cereal Industry,
IRI Infoscan data,10.1162/003465303765299792,Review of Economics and Statistics,"New Products, Quality Changes, and Welfare Measures Computed from Estimated Demand Systems",
IRI Infoscan data,10.1111/1468-0262.00194,Econometrica,Measuring Market Power in the Ready‐to‐Eat Cereal Industry,
IRI Infoscan data,10.1002/agr.21537,Agribusiness,Comparing competitive toughness to benchmark outcomes in retail oligopoly pricing,
IRI Infoscan data,10.1007/s10603-018-9396-x,Journal of Consumer Policy,Evidence from Retail Food Markets That Consumers Are Confused by Natural and Organic Food Labels,
IRI Infoscan data,10.1016/j.foodpol.2017.08.013,Food Policy,Lessons learned from the national household food acquisition and purchase survey in the United States,
IRI Infoscan data,10.1002/agr.21298,Agribusiness,The Organic Milk Market in Germany Is Maturing: A Demand System Analysis of Organic and Conventional Fresh Milk Segmented by Consumer Groups,
IRI Consumer Network data,10.1080/10454446.2018.1428259,Journal of Food Products Marketing,A comparative analysis of hedonic models of nutrition information and health claims on food products: An application to soup products,
IRI Consumer Network data,10.1111/j.1467-9353.2009.01449.x,Review of Agricultural Economics,Understanding Differences in Self‐Reported Expenditures between Household Scanner Data and Diary Survey Data: A Comparison of Homescan and Consumer Expenditure Survey,
IRI Infoscan data,10.1016/j.wep.2015.12.001,Wine Economics and Policy,Wine consumption and sales strategies: The evolution of Mass Retail Trading in Italy,
IRI Infoscan data,10.1093/erae/jbu033,European Review of Agricultural Economics,Simulating welfare effects of the European nutrition and health claims’ regulation: the Italian yogurt market,
IRI Infoscan data,10.1111/nure.12123,Nutrition Reviews,A systematic review of the effectiveness of food taxes and subsidies to improve diets: Understanding the recent evidence,
IRI Infoscan data,10.1111/j.1468-0106.2012.00598.x,Pacific Economic Review,Home Bias in US Beer Consumption,
IRI Infoscan data,10.1080/00036846.2011.568397,Applied Economics,Demand for carbonated soft drinks: implications for obesity policy,
IRI Infoscan data,10.1515/1935-1682.3088,The B.E. Journal of Economic Analysis & Policy,The Effect of Mandated Exclusive Territories in the US Brewing Industry,
IRI Infoscan data,10.1002/agr.20288,Agribusiness,Some Like It Healthy: Demand for Functional and Conventional Yogurts in the Italian Market,
IRI Infoscan data,10.1111/j.1477-9552.2011.00299.x,Journal of Agricultural Economics,The Elusive Price Premium for Ecolabelled Products: Evidence from Seafood in the UK Market,
IRI Infoscan data,10.1108/17561371111131308,China Agricultural Economic Review,Dynamics of retail pricing: a case study of fluid milk,
IRI Infoscan data,10.2202/1542-0485.1353,Journal of Agricultural & Food Industrial Organization,Tax Incidence When Quality Matters: Evidence from the Beer Market,
IRI Infoscan data,10.2202/1542-0485.1296,Journal of Agricultural & Food Industrial Organization,The Effect of Proposition 2 on the Demand for Eggs in California,
IRI Infoscan data,10.1111/j.1467-6451.2008.00330.x,Journal of Industrial Economics,PRICE COMPETITION IN U.S. BREWING*,
IRI Infoscan data,10.1016/j.ijindorg.2006.12.003,International Journal of Industrial Organization,Demand for differentiated products: Price and advertising evidence from the U.S. beer market,
IRI Infoscan data,10.1017/s1074070800022574,Journal of Agricultural and Applied Economics,Firm-Level Competition in Price and Variety,
IRI Infoscan data,10.1111/j.1467-9353.2006.00317.x,Review of Agricultural Economics,Sales Responses to Recalls for Listeria monocytogenes: Evidence from Branded Ready‐to‐Eat Meats,
IRI Infoscan data,10.1111/j.1574-0862.2006.00136.x,Agricultural Economics,Strategic pricing in a differentiated product oligopoly model: fluid milk in Boston,
IRI Infoscan data,10.1111/j.1439-0507.2005.01134.x,Mycoses,Candidaemia in an Irish tertiary referral hospital: epidemiology and prognostic factors,
