dataset,doi,journal,search_term,title,url
dataset-097,10.1080/14743892.2019.1677125,American Communist History,California Unemployment Insurance,"Building a Movement: American Communist Activism in the Communities, 1929-1945",https://www.doi.org/10.1080/14743892.2019.1677125
dataset-097,10.2139/ssrn.3467127,SSRN Electronic Journal,California Unemployment Insurance,Paid Family Leave: A Fork in the Road of the American Welfare State,https://www.doi.org/10.2139/ssrn.3467127
dataset-097,10.5565/rev/aiet.69,Anuario IET de Trabajo y Relaciones Laborales,California Unemployment Insurance,Crowdsourcing: una modalitat jurídicament inviable d'externalització productiva en el nou entorn digital,https://www.doi.org/10.5565/rev/aiet.69
dataset-097,10.5278/ojs.njcl.v0i1.2485,Nordic Journal of Commercial Law,California Unemployment Insurance,Intermediary Platforms – The Contractual Legal Framework,https://www.doi.org/10.5278/ojs.njcl.v0i1.2485
dataset-097,10.1111/ecoj.12415,The Economic Journal,California Unemployment Insurance,Good Jobs and Recidivism,https://www.doi.org/10.1111/ecoj.12415
dataset-097,10.1080/21565503.2017.1318759,Politics Groups and Identities,California Unemployment Insurance,Beyond disenfranchisement: collateral consequences and equal citizenship,https://www.doi.org/10.1080/21565503.2017.1318759
dataset-097,10.2139/ssrn.3115688,SSRN Electronic Journal,California Unemployment Insurance,The California Employment Training Panel: Program Concepts 2002-2016,https://www.doi.org/10.2139/ssrn.3115688
dataset-097,10.2139/ssrn.3272618,SSRN Electronic Journal,California Unemployment Insurance,"Affirmative Action, Percent Plans, and the Return to Postsecondary Selectivity",https://www.doi.org/10.2139/ssrn.3272618
dataset-097,10.1007/s12027-016-0439-y,ERA Forum,California Unemployment Insurance,The ‘Uberization’ of the labour market: some thoughts from an employment law perspective on the collaborative economy,https://www.doi.org/10.1007/s12027-016-0439-y
dataset-097,10.1016/j.jue.2015.11.003,Journal of Urban Economics,California Unemployment Insurance,Workforce location and equilibrium unemployment in a duocentric economy with matching frictions,https://www.doi.org/10.1016/j.jue.2015.11.003
dataset-097,10.2139/ssrn.3380027,SSRN Electronic Journal,California Unemployment Insurance,Cruel Summer: Economic Impacts of Extending Unemployment Benefits to Public K-12 Classified Workers in the State of California,https://www.doi.org/10.2139/ssrn.3380027
dataset-097,10.1080/07329113.2014.882102,The Journal of Legal Pluralism and Unofficial Law,California Unemployment Insurance,"Time's up, timed out: reflections on social time and legal pluralism",https://www.doi.org/10.1080/07329113.2014.882102
dataset-097,10.4324/9780203536810,,California Unemployment Insurance,Work-Life Balance,https://www.doi.org/10.4324/9780203536810
dataset-097,10.4324/9780203145463,,California Unemployment Insurance,Symbols (Routledge Revivals),https://www.doi.org/10.4324/9780203145463
dataset-097,10.2139/ssrn.2340678,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",California Unemployment Insurance,Unemployment Benefits and Unemployment in the Great Recession: The Role of Equilibrium Effects,https://www.doi.org/10.2139/ssrn.2340678
dataset-097,10.1377/hlthaff.2010.0961,"{'id': 'jour.1093948', 'title': 'Health Affairs'}",California Unemployment Insurance,Projecting The Impact Of The Affordable Care Act On California,https://www.doi.org/10.1377/hlthaff.2010.0961
dataset-097,10.2139/ssrn.2165017,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",California Unemployment Insurance,The Hobbit Adventure in a Globalized World: A Brief History of Runaway Productions,https://www.doi.org/10.2139/ssrn.2165017
dataset-097,10.2139/ssrn.1736644,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",California Unemployment Insurance,"Age Differences in Job Displacement, Job Search, and Reemployment",https://www.doi.org/10.2139/ssrn.1736644
dataset-097,10.2139/ssrn.1655022,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",California Unemployment Insurance,Care/Work: Law Reform to Support Family Caregivers to Balance Paid Work and Unpaid Caregiving: A Study Paper Prepared by the British Columbia Law Institute & Canadian Centre for Elder Law,https://www.doi.org/10.2139/ssrn.1655022
dataset-097,10.2139/ssrn.1539165,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",California Unemployment Insurance,"Program Take-Up Among CalWORKs Leavers: Medi-Cal, Food Stamps, and the EITC: An Evaluation of Participation in Work-Support Programs by CalWORKs Leavers",https://www.doi.org/10.2139/ssrn.1539165
