dataset,doi,journal,search_term,title
dataset-043,10.5993/ajhb.43.6.4,American Journal of Health Behavior,School Nutrition Dietary Assessment Study,"Promoting Cooking, Nutrition, and Physical Activity in Afterschool Settings"
dataset-043,10.1111/chso.12336,Children & Society,School Nutrition Dietary Assessment Study,"School Meals and Food Poverty: Children’s Views, Parents’ Perspectives and the Role of School"
dataset-043,10.1016/j.jand.2019.07.024,Journal of the Academy of Nutrition and Dietetics,School Nutrition Dietary Assessment Study,Dietary Habits of 2- to 9-Year-Old American Children Are Associated with Gut Microbiome Composition
dataset-043,10.7596/taksad.v8i3.2242,Journal of History Culture and Art Research,School Nutrition Dietary Assessment Study,Organizing Catering Systems in General Educational Organizations: Foreign Experiences and Implications for Russia
dataset-043,10.3390/bs9090101,Behavioral Sciences,School Nutrition Dietary Assessment Study,Study Design and Protocol to Assess Fruit and Vegetable Waste at School Lunches
dataset-043,10.1101/19005579,bioRxiv,School Nutrition Dietary Assessment Study,"Changes in association between school meals and children's dietary quality during implementation of the Healthy, Hunger-Free Kids Act of 2010"
dataset-043,10.14485/hbpr.6.5.4,Health Behavior and Policy Review,School Nutrition Dietary Assessment Study,Total Sugar in Free Breakfasts Served in Virginia Elementary Schools
dataset-043,10.1111/josh.12809,Journal of School Health,School Nutrition Dietary Assessment Study,The Impact of Local Food Expenditure on School Foodservice Revenues
dataset-043,10.1016/j.numecd.2019.03.013,"NMCD - Nutrition,Metabolism and Cardiovascular Diseases",School Nutrition Dietary Assessment Study,Dietary assessment methods in surveillance systems targeted to adolescents: a review of the literature
dataset-043,10.1002/oby.22540,Obesity,School Nutrition Dietary Assessment Study,Obesity Prevention Interventions and Implications for Energy Balance in the United States and Mexico: A Systematic Review of the Evidence and Meta‐Analysis
dataset-043,10.1017/s136898001900017x,Public Health Nutrition,School Nutrition Dietary Assessment Study,Comparisons of school and home-packed lunches for fruit and vegetable dietary behaviours among school-aged youths
dataset-043,10.1016/j.amepre.2019.01.010,American Journal of Preventive Medicine,School Nutrition Dietary Assessment Study,Dietary Guidance and New School Meal Standards: Schoolchildren's Whole Grain Consumption Over 1994–2014
dataset-043,10.1111/1468-0009.12385,Milbank Quarterly,School Nutrition Dietary Assessment Study,Legal Feasibility of US Government Policies to Reduce Cancer Risk by Reducing Intake of Processed Meat
dataset-043,10.1016/j.jand.2018.12.007,Journal of the Academy of Nutrition and Dietetics,School Nutrition Dietary Assessment Study,A Group Randomized Intervention Trial Increases Participation in the School Breakfast Program in 16 Rural High Schools in Minnesota
dataset-043,10.1016/j.ancene.2019.100198,Anthropocene,School Nutrition Dietary Assessment Study,Culture and the Independent Self: Obstacles to Environmental Sustainability?
dataset-043,10.1016/j.jand.2019.02.006,Journal of the Academy of Nutrition and Dietetics,School Nutrition Dietary Assessment Study,"The Academic, Behavioral, and Health Influence of Summer Child Nutrition Programs: A Narrative Review and Proposed Research and Policy Agenda"
dataset-043,10.1002/soej.12370,Southern Economic Journal,School Nutrition Dietary Assessment Study,Does School Lunch Fill the “SNAP Gap” at the End of the Month?
dataset-043,10.22146/jcoemph.39796,Journal of Community Empowerment for Health,School Nutrition Dietary Assessment Study,Pemanfaatan sekolah sebagai sarana pencegahan obesitas sejak dini pada remaja
dataset-043,10.1016/j.appet.2019.01.026,Appetite,School Nutrition Dietary Assessment Study,Cafeteria noise exposure and fruit and vegetable consumption at school lunch: A cross-sectional study of elementary students
dataset-043,10.1016/j.jneb.2018.07.003,Journal of Nutrition Education and Behavior,School Nutrition Dietary Assessment Study,Using Theory to Evaluate the Implementation and Integration of an Expanded School Breakfast Program in Rural Midwestern High Schools
