datasets,doi,journal,search_term,title
dataset-624,10.1115/1.4045447,"{'id': 'jour.1033314', 'title': 'Journal of Mechanical Design'}",datums,Automated Tradeoff Analysis of Cost versus Machinability for Design Feedback
dataset-624,10.1016/j.ecss.2019.106486,"{'id': 'jour.1120689', 'title': 'Estuarine Coastal and Shelf Science'}",datums,"A simple, dynamic, hydrological model for mesotidal salt marshes"
dataset-624,10.1016/j.cretres.2019.104241,"{'id': 'jour.1052618', 'title': 'Cretaceous Research'}",datums,The Jurassic/Cretaceous System Boundary is at an impasse. Why not go back to Oppel’s 1865 original and historic definition of the Tithonian?
dataset-624,10.1080/24694452.2019.1625745,"{'id': 'jour.1120577', 'title': 'Annals of the American Association of Geographers'}",datums,"A Historical Perspective on Water Levels and Storage Capacity of Lake Okeechobee, Florida: Pre- and Early Drainage Periods"
dataset-624,10.1080/01490419.2019.1685030,"{'id': 'jour.1138511', 'title': 'Marine Geodesy'}",datums,Photogrammetric Bathymetry for the Canadian Arctic
dataset-624,10.1016/j.precisioneng.2019.10.004,"{'id': 'jour.1053442', 'title': 'Precision Engineering'}",datums,Evaluation of the standard measurement uncertainty due to the ISO50 surface determination method for dimensional computed tomography
dataset-624,10.1016/j.margeo.2019.106063,"{'id': 'jour.1026150', 'title': 'Marine Geology'}",datums,"Sedimentology, structure, and age of the Wide Bay Canyon submarine landslide on the southeast Australian continental slope"
dataset-624,10.1111/jfr3.12567,"{'id': 'jour.1045084', 'title': 'Journal of Flood Risk Management'}",datums,Land raising as a solution to sea‐level rise: An analysis of coastal flooding on an artificial island in the Maldives
dataset-624,10.1016/j.isprsjprs.2019.11.022,"{'id': 'jour.1044622', 'title': 'ISPRS Journal of Photogrammetry and Remote Sensing'}",datums,Mapping large-area tidal flats without the dependence on tidal elevations: A case study of Southern China
dataset-624,10.1590/1678-992x-2017-0430,"{'id': 'jour.1035051', 'title': 'Scientia Agricola'}",datums,Open legacy soil survey data in Brazil: geospatial data quality and how to improve it
dataset-624,10.1007/978-981-13-8406-6,,datums,"Smart Systems and IoT: Innovations in Computing, Proceeding of SSIC 2019"
dataset-624,10.1007/978-981-13-8406-6_53,,datums,Network Packet Breach Detection Using Cognitive Techniques
dataset-624,10.1007/978-3-030-28679-8,,datums,"River Ice Processes and Ice Flood Forecasting, A Guide for Practitioners and Students"
dataset-624,10.1007/978-3-030-14899-7,,datums,"Product Development, Principles and Tools for Creating Desirable and Transferable Designs"
dataset-624,10.1016/b978-0-12-819229-0.00004-x,,datums,Chapter 4 Map Reference Systems
dataset-624,10.1525/9780520962170-024,,datums,TWENTY. Sandy Beaches
dataset-624,10.1115/1.4045720,"{'id': 'jour.1137193', 'title': 'Journal of Manufacturing Science and Engineering'}",datums,On the Producibility of Composite Position Tolerance Specifications for Patterns of Holes: Machining Experiments
dataset-624,10.1029/2019pa003679,"{'id': 'jour.1300470', 'title': 'Paleoceanography and Paleoclimatology'}",datums,Midlatitude Southern Hemisphere Temperature Change at the End of the Eocene Greenhouse Shortly Before Dawn of the Oligocene Icehouse
dataset-624,10.1007/s13157-019-01254-8,"{'id': 'jour.1045785', 'title': 'Wetlands'}",datums,Are Tidal Salt Marshes Exposed to Nutrient Pollution more Vulnerable to Sea Level Rise?
dataset-624,10.1055/a-1030-4223,"{'id': 'jour.1007820', 'title': 'Das Gesundheitswesen'}",datums,Leistungs- und Abrechnungsdatum in GKV-Routinedaten: Umgang mit zeitlichen Abweichungen
